"판문점","외국인","남자",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"판문점","외국인","여자",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산","내국인","남자",1067,699,959,727,1307,690,1482,715,1233,699,1720,757,1566,620,1848,918,2307,1644,6841,3983,1850,1022,1945,1324,1576,1198,1467,1221,901,1038,973,1026,577,1012,340,669,17,882,19,551,279,597
"부산","내국인","여자",776,516,731,638,863,665,1124,588,1129,598,1510,660,1288,546,1434,479,1237,480,3675,1472,856,347,663,256,562,213,544,208,747,122,912,126,455,120,204,70,0,36,5,26,187,141
"부산","외국인","남자",971,766,776,810,851,638,982,604,960,529,553,526,474,408,645,604,394,255,1792,1200,414,342,173,143,256,201,201,160,121,188,117,85,103,76,69,75,22,87,17,81,110,115
"부산","외국인","여자",591,279,431,325,450,245,532,384,537,317,439,325,382,263,569,673,373,266,1753,1195,406,393,202,145,379,166,254,229,162,128,151,87,125,104,56,64,0,0,0,9,129,111
"평택","내국인","남자",183,116,206,178,146,130,121,120,248,89,260,61,186,62,215,47,254,55,761,138,86,32,90,15,174,11,37,14,70,4,34,5,37,11,120,3,3,8,2,1,12,6
"평택","내국인","여자",95,73,68,88,46,66,47,88,79,52,84,28,72,28,71,17,117,47,266,89,15,17,31,15,54,1,18,11,26,1,11,1,13,3,40,0,0,1,0,1,0,2
"평택","외국인","남자",170,152,195,196,154,160,159,73,297,102,192,208,154,78,240,76,366,220,904,457,171,89,173,128,164,116,137,70,137,113,68,93,79,124,18,181,1,2,0,0,24,5
"평택","외국인","여자",133,81,218,140,149,101,130,54,242,45,232,81,185,37,222,53,239,125,635,272,116,53,111,62,90,58,63,53,48,61,26,47,53,86,24,165,0,0,0,0,19,1
